ELECCION,nombres_candidato,apellido_paterno_candidato,apellido_materno_candidato,ESTADO,Observada
DIPUTADO,ABRAHAM ALBERT,COHEN,BENADAVA,APROBADA,NO
DIPUTADO,LUIS FELIPE,GARCIA,MERINO,APROBADA,NO
DIPUTADO,MARIO ALONSO,HORMAZABAL,NOVOA,APROBADA,NO
DIPUTADO,CLAUDIA ALEJANDRA,TAPIA,SAAVEDRA,RECHAZADA,NO
DIPUTADO,RIGOBERTO,VALDIVIA,ARAVENA,APROBADA,NO
DIPUTADO,MARIA SOLEDAD,VILLALON,BERRIOS,RECHAZADA,NO
DIPUTADO,MAURICIO RENE,RAMIREZ,DONDERS,APROBADA,NO
DIPUTADO,CECILIA DEL CARMEN,GONZALEZ,ANANIAS,RECHAZADA,NO
DIPUTADO,VICTORIA HAYDEE,SOTO,LOPEZ,APROBADA,NO
DIPUTADO,CLAUDIA ANDREA,TORRES,NAVARRO,RECHAZADA,NO
DIPUTADO,CYNTHIA LESLIE KAREN,BROUDISSOND,ARAYA,APROBADA,NO
DIPUTADO,BEATRICE IRINA,ONFRAY,LECREC,RECHAZADA,NO
DIPUTADO,LESLIE MANUEL,THORNTON,ABOITIZ,APROBADA,NO
DIPUTADO,SUSANA MABEL,YAÑEZ,BALAGUE,APROBADA,NO
DIPUTADO,CRISTIAN BERNARDO,ASTORGA,CANALES,APROBADA,SI
DIPUTADO,VERONICA,BECERRA,VERGARA,APROBADA,NO
SENADOR,PAMELA CHRISTI,BOLBARAN,BOLBARAN,APROBADA,NO
DIPUTADO,NATALIA FERNANDA,LEIVA,CEPEDA,RECHAZADA,NO
DIPUTADO,DANIELA PAZ,MOSCOSO,OYARZUN,RECHAZADA,NO
DIPUTADO,HARLET HEISLEBEN,PROBST,CAMPODONICO,APROBADA,NO
DIPUTADO,LIBERTAD ANGELA,MENDEZ,NUÑEZ,APROBADA,NO
DIPUTADO,PATRICIO,RUBIO,GARCIA,APROBADA,NO
DIPUTADO,JAVIER,WILDEN,ACOSTA,APROBADA,NO
DIPUTADO,FELIPE IGNACIO,VALDES,BOBADILLA,RECHAZADA,NO
DIPUTADO,FRANCISCA,RODRIGUEZ,GONZALEZ,APROBADA,NO
DIPUTADO,MADISON WALESKA,MIRANDA,CEA,APROBADA,NO
DIPUTADO,MARIA JOSE,TORRES,BARRIENTOS,APROBADA,NO
DIPUTADO,JESUS FERNANDO,GOMEZ,ORELLANA,RECHAZADA,NO
DIPUTADO,ESTEBAN ALBERTO,ASTUDILLO,HENRIQUEZ,APROBADA,NO
DIPUTADO,RODRIGO ANDRES,CABEZAS,VENEGAS,APROBADA,NO
DIPUTADO,IGNACIO,BUSTOS,SAEZ,APROBADA,NO
DIPUTADO,FRANCISCO,SANTANA,CARDENAS,APROBADA,NO
DIPUTADO,MATIAS ANDRES,ROSENDE,BRICEÑO,APROBADA,NO
DIPUTADO,MANUEL RODRIGO,CATALAN,REYES,RECHAZADA,NO
PRESIDENTE,JOSE ANTONIO,KAST,RIST,APROBADA,SI
DIPUTADO,JORGE LUIS,PASSADORE,SOTO,APROBADA,SI
DIPUTADO,JUAN DOMINGO,VILLAVICENCIO,PASTEN,APROBADA,NO
SENADOR,MONICA VALENTINA,GOMEZ,LIRA,APROBADA,NO
DIPUTADO,MAURICIO RENE,OYARCE,VERA,APROBADA,NO
DIPUTADO,CARLOS RICHARD,CASTRO,FUENTEALBA,RECHAZADA,NO
DIPUTADO,ORLANDO ARTURO,SEGOVIA,CACERES,RECHAZADA,NO
DIPUTADO,CATHERINE EUGENIA,CEBULJ,NAVARRETE,APROBADA,SI
DIPUTADO,JONATHAN STEPHANO,CHANDIA,ITURRA,APROBADA,SI
DIPUTADO,JEAN PIERRE,BONVALLET,SETTI,APROBADA,SI
DIPUTADO,HILDA FABIOLA,PINO,BASTIAS,RECHAZADA,NO
DIPUTADO,WALESKA LISSETTE,MORALES,MORALES,RECHAZADA,NO
DIPUTADO,KATIA ANDREA,TRUJILLO,HIDALGO,APROBADA,SI
DIPUTADO,ERICKA,ÑANCO,VASQUEZ,RECHAZADA,SI
DIPUTADO,MARIA PAZ,GOMEZ,ASENJO,APROBADA,NO
DIPUTADO,EDUARDO ALEXIS,TOLEDO,PINTO,APROBADA,SI
DIPUTADO,JANNIER ESTRELLA,GILBERTO,VERGARA,RECHAZADA,NO
DIPUTADO,PEDRO NOLASCO,VALENZUELA,PIFFAUT,APROBADA,SI
DIPUTADO,DAN,HORMACHEA,DE LA ROZA,APROBADA,SI
DIPUTADO,VALERIA BEATRIZ FANNY,ARANCIBIA,LUCO,APROBADA,SI
DIPUTADO,CRISTOPHER SEBASTIAN,AHUMADA,ESPINOZA,RECHAZADA,NO
DIPUTADO,MARIA NOELIA,MUÑOZ,PONTE,APROBADA,SI
PRESIDENTE,GABRIEL,BORIC,FONT,APROBADA,SI
DIPUTADO,ELIAS,VISTOSO,URRUTIA,APROBADA,SI
DIPUTADO,CARLOS,PARRA,MERINO,APROBADA,SI
DIPUTADO,HUGO,ORTIZ,DE FILIPPI,APROBADA,SI
DIPUTADO,CARLOS ROBERTO,TRAUB,GAINSBORG,APROBADA,SI
SENADOR,RABINDRANATH,QUINTEROS,LARA,APROBADA,SI
SENADOR,JOSE,PEREZ,ARRIAGADA,APROBADA,SI
SENADOR,JOSE MIGUEL,ORTIZ,NOVOA,APROBADA,SI
DIPUTADO,GONZALO FELIPE,GARCIA-HUIDOBRO,SEVERIN,APROBADA,NO
DIPUTADO,CARMEN ADELAIDA,HERTZ,CADIZ,APROBADA,SI
DIPUTADO,LEONARDO DANTE,SOLARI,ALCOTA,APROBADA,SI
DIPUTADO,MARIA LUISA,CORDERO,VELASQUEZ,APROBADA,SI
DIPUTADO,CARLOS,AMTMANN,MOYANO,APROBADA,SI
SENADOR,GUILLERMO LEON,TEILLIER,DEL VALLE,APROBADA,SI
DIPUTADO,MINERVA BEATRIZ,CAMPODONICO,SALUZZI,APROBADA,SI
DIPUTADO,VICTOR BENEDICTO,MIRANDA,MARIN,RECHAZADA,NO
DIPUTADO,JAIME ALFREDO,PERRY,JUNGK,APROBADA,SI
SENADOR,ZAIDA REBECA,FALCES,SALAZAR,APROBADA,SI
DIPUTADO,MIRIAM ANA JOSEFINA,SEÑORET,SOTO,APROBADA,SI
DIPUTADO,PABLO,HERDENER,TRUAN,APROBADA,SI
DIPUTADO,ANTONIO,STUARDO,PINEDA,APROBADA,SI
DIPUTADO,JORGE,CABEZAS,CORTES,APROBADA,SI
DIPUTADO,BERNARDO JOSE,BERGER,FETT,APROBADA,SI
DIPUTADO,RENATO,HAURI,GOMEZ,APROBADA,SI
DIPUTADO,DANIEL,LILAYU,VIVANCO,APROBADA,SI
DIPUTADO,LAUTARO CESAR,CARMONA,SOTO,APROBADA,SI
DIPUTADO,RAMON FERNANDO,GRIFFERO,SANCHEZ,APROBADA,SI
SENADOR,FRESIA MONICA,QUILODRAN,RAMOS,APROBADA,SI
DIPUTADO,JAVIER ADRIAN,GONZALEZ,VERGARA,APROBADA,NO
DIPUTADO,WALTER ALDO,WOJCIECHOWSKI,ZARA,APROBADA,SI
DIPUTADO,HELIA,MOLINA,MILMAN,APROBADA,SI
SENADOR,ADRIANA,MUÑOZ,DALBORA,APROBADA,SI
DIPUTADO,MERCEDES,BULNES,NUÑEZ,APROBADA,SI
DIPUTADO,JAIME,NARANJO,ORTIZ,APROBADA,NO
DIPUTADO,LUCIANO,VALLE,ACEVEDO,APROBADA,SI
SENADOR,SAMUEL ABELARDO,JIMENEZ,MORAGA,APROBADA,SI
DIPUTADO,JACQUELINE,SAINTARD,VERA,APROBADA,SI
SENADOR,RICARDO FERNANDO,ORTEGA,PERRIER,APROBADA,SI
DIPUTADO,JOSE ANTONIO,CARVALLO,CASTRO,RECHAZADA,NO
DIPUTADO,FELIPE,LETELIER,NORAMBUENA,APROBADA,SI
PRESIDENTE,EDUARDO,ARTES,BRICHETTI,APROBADA,SI
DIPUTADO,MARTA,FREZ,AVILA,APROBADA,SI
DIPUTADO,AMARO JAMIL JESUS,LABRA,SEPULVEDA,APROBADA,SI
DIPUTADO,TOMAS,HIRSCH,GOLDSCHMIDT,APROBADA,SI
DIPUTADO,ARTURO,MOLINA,HENRIQUEZ,APROBADA,SI
DIPUTADO,CARMEN PATRICIA,IBAÑEZ,SOTO,APROBADA,SI
SENADOR,IVAN,MOREIRA,BARROS,APROBADA,SI
DIPUTADO,DANIEL,PRIETO,VIAL,APROBADA,SI
SENADOR,CATERINA TERESA,SIMONCELLI,FRACCHIA,APROBADA,SI
DIPUTADO,ROLANDO,RENTERIA,MOLLER,APROBADA,SI
SENADOR,VIRGINIA EUGENIA,TRONCOSO,HELLMAN,APROBADA,SI
DIPUTADO,DELIA ALICIA,PARDO,ARANEDA,APROBADA,SI
DIPUTADO,NINO,BALTOLU,RASERA,APROBADA,SI
DIPUTADO,BERTA DEL CARMEN,DE LA FUENTE,VALENZUELA,APROBADA,SI
DIPUTADO,JOSE,VALLEJO,KNOCKAERT,APROBADA,NO
DIPUTADO,GASTON,VON MUHLENBROCK,ZAMORA,APROBADA,SI
SENADOR,CARLOS IGNACIO,KUSCHEL,SILVA,APROBADA,SI
DIPUTADO,LUIS MIGUEL,BURGOS,SANHUEZA,APROBADA,SI
DIPUTADO,RAMON ERNESTO,GALLEGUILLOS,CASTILLO,APROBADA,SI
DIPUTADO,PAUL ALEXANDER,SFEIR,RUBIO,APROBADA,SI
DIPUTADO,CHRISTIAN,MATHESON,VILLAN,APROBADA,SI
DIPUTADO,MIGUEL ALEJANDRO,MELLADO,SUAZO,APROBADA,SI
DIPUTADO,PATRICIO ALEJANDRO,TOLEDO,LOBOS,APROBADA,SI
DIPUTADO,MARCELA JOVINA,TORRECILLA,HENRIQUEZ,APROBADA,SI
DIPUTADO,CARLOS ALBERTO,MELLA,LATORRE,APROBADA,SI
SENADOR,GASTON,SAAVEDRA,CHANDIA,APROBADA,SI
DIPUTADO,DANIEL,VERDESSI,BELEMMI,APROBADA,SI
DIPUTADO,CARLOS,SOTO,GUTIERREZ,APROBADA,SI
DIPUTADO,ROSA GUILLERMINA,CATRILEO,ARANEDA,APROBADA,SI
DIPUTADO,MARIA CANDELARIA,ACEVEDO,SAEZ,APROBADA,SI
DIPUTADO,PABLO SANTIAGO,ASTETE,MERMOUD,APROBADA,SI
DIPUTADO,DALVA DE LOS ANGELES,CEPEDA,CASTRO,APROBADA,SI
SENADOR,HILDA DEL CARMEN,CERDA,ESPINDOLA,APROBADA,SI
PRESIDENTE,FRANCO,PARISI,FERNANDEZ,APROBADA,SI
SENADOR,VERONICA PILAR,PARDO,LAGOS,APROBADA,SI
DIPUTADO,ALBAN,MANCILLA,DIAZ,APROBADA,SI
SENADOR,JOSE ANTONIO,GOMEZ,URRUTIA,APROBADA,SI
DIPUTADO,EVELYN GUILLERMINA,ZOTTELE,GARCIA,APROBADA,SI
SENADOR,IVAN,FLORES,GARCIA,APROBADA,SI
DIPUTADO,JUAN ALBERTO,MENA,JIL,APROBADA,SI
DIPUTADO,XIMENA,OSSANDON,IRARRAZABAL,APROBADA,SI
DIPUTADO,EVA TERESA,PORTALES,PIÑONES,APROBADA,SI
DIPUTADO,EUGENIO SAMUEL,DARRIGRANDE,PIZARRO,APROBADA,SI
DIPUTADO,PABLO SAMUEL,PRIETO,LORCA,APROBADA,SI
DIPUTADO,PILAR,GINESTA,BASCUÑAN,APROBADA,SI
DIPUTADO,MARIA PIA,MARINOVIC,MERINO,APROBADA,SI
DIPUTADO,MARIA PAULINA,MAYO,DE GOYENECHE,APROBADA,SI
SENADOR,MANUEL JOSE,OSSANDON,IRARRAZABAL,APROBADA,SI
DIPUTADO,LUIS RAFAEL,PARDO,SAINZ,APROBADA,SI
DIPUTADO,ANA MARIA,GAZMURI,VIEIRA,APROBADA,SI
DIPUTADO,ORIELE MARIA EUGENIA,NUÑEZ,SERRANO,APROBADA,SI
DIPUTADO,GUSTAVO,BENAVENTE,VERGARA,APROBADA,SI
DIPUTADO,GONZALO ARMANDO,DE LA CARRERA,CORREA,APROBADA,SI
DIPUTADO,ELIA JACQUELINE,ROMERO,OLAVE,APROBADA,SI
DIPUTADO,MARIA VERONICA CHELITA,WELKNER,BALLAS,APROBADA,NO
DIPUTADO,ALVARO,ERAZO,LATORRE,APROBADA,SI
SENADOR,JAN JOSE,CADEMARTORI,DUJISIN,APROBADA,SI
DIPUTADO,EULOGIA,LAVIN,INFANTE,APROBADA,SI
DIPUTADO,GLORIA,NAVEILLAN,ARRIAGADA,APROBADA,SI
DIPUTADO,REBECA,TALA,ARNECHINO,APROBADA,NO
DIPUTADO,CATALINA,DEL REAL,MIHOVILOVIC,APROBADA,SI
DIPUTADO,ANGELICA,GALLEGOS,TOLEDO,APROBADA,NO
DIPUTADO,MARIA ANGELICA,OJEDA,GONZALEZ,APROBADA,SI
DIPUTADO,FRESIA MARIA,SEPULVEDA,HANCKES,APROBADA,SI
SENADOR,JAIME,MAÑALICH,MUXI,APROBADA,SI
SENADOR,SANDRA,AMAR,MANCILLA,APROBADA,SI
DIPUTADO,ELIANA DE LOURDES,ROJAS,BUGUEÑO,APROBADA,SI
DIPUTADO,LEONIDAS ANDRES,ROMERO,SAEZ,APROBADA,SI
DIPUTADO,CLARA INES,SAGARDIA,CABEZAS,APROBADA,SI
DIPUTADO,ERTO,PANTOJA,GUTIERREZ,APROBADA,NO
DIPUTADO,LUIS,GARRIDO,AMPUERO,APROBADA,SI
DIPUTADO,RODRIGO,BRAVO,VALENZUELA,APROBADA,SI
DIPUTADO,VITTORIO,VALDES,CORON,APROBADA,SI
DIPUTADO,JUAN DE DIOS,PARRA,SEPULVEDA,APROBADA,SI
SENADOR,IVAN,NORAMBUENA,FARIAS,APROBADA,SI
DIPUTADO,CARLOS,FLORES,NAVARRETE,APROBADA,SI
DIPUTADO,PABLO,MALTES,BISKUPOVIC,APROBADA,SI
DIPUTADO,DAVID ALBERTO,ZAMBRANO,GARAY,APROBADA,SI
DIPUTADO,JAIRO MIGUEL,QUINTEROS,RODRIGUEZ,APROBADA,SI
SENADOR,JAVIER,HERNANDEZ,HERNANDEZ,APROBADA,SI
DIPUTADO,MARIA CRISTOBALINA DEL CARMEN,SEPULVEDA,CHACON,RECHAZADA,NO
DIPUTADO,CARLOS ALFONSO,ARELLANO,GAJARDO,APROBADA,SI
SENADOR,JULIO GASTON,CONTRERAS,MUÑOZ,APROBADA,SI
SENADOR,RAMON,BARROS,MONTERO,APROBADA,SI
DIPUTADO,LUIS EDUARDO,HENRIQUEZ,FLORES,APROBADA,SI
DIPUTADO,CARLOS,BIANCHI,CHELECH,APROBADA,SI
DIPUTADO,PATRICIO EDUARDO,ROSAS,BARRIENTOS,APROBADA,SI
DIPUTADO,PILAR,FARFAN,VILLAGRA,APROBADA,NO
SENADOR,FERNANDA,HEDERRA,WILLIAMS,APROBADA,SI
SENADOR,GONZALO DANIEL,MARTNER,FANTA,APROBADA,SI
DIPUTADO,HECTOR BERNARDO,POBLETE,BELTRAN,APROBADA,SI
DIPUTADO,CHRISTIAN LEOPOLDO,AGUIRRE,BASULTO,APROBADA,SI
DIPUTADO,ALFREDO ANTONIO,BRUNA,ORELLANA,APROBADA,SI
DIPUTADO,BERTA DEL CARMEN,MONTECINOS,DURAN,APROBADA,SI
DIPUTADO,SEBASTIAN,CRISTI,ALFONSO,APROBADA,SI
DIPUTADO,CLAUDIO IVAN,GALARCE,GONZALEZ,APROBADA,NO
DIPUTADO,OMAR,ORTIZ,CONCHA,APROBADA,SI
DIPUTADO,PATRICIO EDUARDO,HASBUN,CHARAD,APROBADA,SI
SENADOR,RAFAEL ALEJANDRO,ARAVENA,EGAÑA,APROBADA,SI
SENADOR,DANIEL,GUEVARA,CORTES,APROBADA,SI
DIPUTADO,NANCY CRISTINA,NICUL,LINCOLEO,APROBADA,NO
DIPUTADO,CLAUDIO EUGENIO,ARRIAGADA,MACAYA,APROBADA,SI
DIPUTADO,JORGE,CASTRO,MUÑOZ,APROBADA,SI
DIPUTADO,NILSA ELCIRA,GUZMAN,PALMA,APROBADA,SI
DIPUTADO,MARCELA PAZ,DIAZ DE VALDES,BALBONTIN,APROBADA,SI
DIPUTADO,RENE LUIS,NARANJO,SOTOMAYOR,APROBADA,SI
SENADOR,ALVARO EMILIO,PEZOA,BISSIERES,APROBADA,SI
DIPUTADO,FLOR,WEISSE,NOVOA,APROBADA,SI
DIPUTADO,CHRISTIAN OSCAR,SLATER,ESCANILLA,APROBADA,SI
DIPUTADO,LUIS,ROCAFULL,LOPEZ,APROBADA,SI
DIPUTADO,MARIO ISAIAS,SADOVNIK,ENGEL,APROBADA,SI
DIPUTADO,JAIME MAURICIO,JELINCIC,AGUILAR,APROBADA,SI
DIPUTADO,LUIS ALEJANDRO,CATRILEO,GAETE,APROBADA,SI
DIPUTADO,MARCOS HECTOR,NAVARRETE,GUERIN,APROBADA,SI
DIPUTADO,MAURICIO,CONCHA,ALARCON,APROBADA,SI
DIPUTADO,MARIA ANGELICA,CORNEJO,ZUÑIGA,APROBADA,SI
SENADOR,JUAN LUIS,CASTRO,GONZALEZ,APROBADA,SI
SENADOR,ALEJANDRO JUAN,KUSANOVIC,GLUSEVIC,APROBADA,SI
DIPUTADO,CRISTOBAL,ORREGO,SANCHEZ,APROBADA,SI
DIPUTADO,SERGIO,BOBADILLA,MUÑOZ,APROBADA,SI
SENADOR,JORGE,SABAG,VILLALOBOS,APROBADA,SI
SENADOR,MERCEDES DEL CARMEN,BRAVO,VALENZUELA,APROBADA,SI
DIPUTADO,MIGUEL ANGEL,BECKER,ALVEAR,APROBADA,SI
DIPUTADO,ALEJANDRA,MOLINA,TOBAR,APROBADA,NO
SENADOR,MARGOT,CARDENAS,SANDOVAL,APROBADA,SI
DIPUTADO,HUGO,CAUTIVO,BALTIERRA,APROBADA,SI
DIPUTADO,MARIA VICTORIA,TORRES,SANDOVAL,APROBADA,SI
DIPUTADO,FREDDY REINALDO,BLANC,SPERBERG,APROBADA,SI
DIPUTADO,JOSE MIGUEL,URRUTIA,CELIS,APROBADA,SI
DIPUTADO,ELISA,TRIVIÑO,MANCILLA,APROBADA,NO
DIPUTADO,JORGE,LOPEZ,PINO,APROBADA,SI
DIPUTADO,LUIS RICARDO,LEGAZA,SOTO,APROBADA,SI
DIPUTADO,MARIA ESTER,MUNNIER,SOTO,APROBADA,SI
DIPUTADO,VIVIANA,MONTECINOS,SUAZO,APROBADA,SI
DIPUTADO,HECTOR,SANTOS,VILLABLANCA,APROBADA,SI
DIPUTADO,HARRY,JURGENSEN,RUNDSHAGEN,APROBADA,SI
DIPUTADO,JORGE,SAFFIRIO,ESPINOZA,APROBADA,SI
DIPUTADO,ROBERTO,VILLAGRA,REYES,APROBADA,SI
DIPUTADO,CLAUDIA ELENA,LILLO,ECHEVERRIA,APROBADA,SI
DIPUTADO,SACHA,RAZMILIC,BURGOS,APROBADA,SI
DIPUTADO,HERNAN,PALMA,PEREZ,APROBADA,NO
DIPUTADO,PAULO,DE LA FUENTE,PAREDES,APROBADA,SI
DIPUTADO,COSME,MELLADO,PINO,APROBADA,SI
DIPUTADO,MARCIA,RAPHAEL,MORA,APROBADA,SI
DIPUTADO,EDUARDO EUGENIO,SALGADO,REYES,APROBADA,SI
DIPUTADO,LILIANA,MUÑOZ,HERNANDEZ,APROBADA,SI
DIPUTADO,PAULINA TERESA,BRAVO,GUZMAN,APROBADA,SI
DIPUTADO,CLAUDIA CAROLINA,LATORRE,ARAVENA,APROBADA,SI
DIPUTADO,MARIA SOLEDAD,HURTADO,ARELLANO,APROBADA,NO
DIPUTADO,MANUEL ANTONIO,LOPEZ,MIRANDA,APROBADA,SI
DIPUTADO,VICTOR EDUARDO,IBACACHE,ESTAY,APROBADA,SI
SENADOR,CESAR ANTONIO,ARAYA,GARCIA,APROBADA,SI
DIPUTADO,LUIS ADOLFO,JIMENEZ,VALDERRAMA,APROBADA,SI
DIPUTADO,RICARDO ALFREDO,GIERKE,CORREA,APROBADA,SI
SENADOR,EUGENIO,ORTEGA,FREI,APROBADA,SI
DIPUTADO,CESAR ABRAHAM,SUAY,JEREZ,APROBADA,SI
DIPUTADO,ROSEMBERG FRANCIS,HERNANDEZ,BELLO,APROBADA,SI
SENADOR,MARCELA,HERNANDO,PEREZ,APROBADA,SI
DIPUTADO,CATALINA,CHAPPUZEAU,LOPEZ,APROBADA,SI
DIPUTADO,CRISTHIAN,MOREIRA,BARROS,APROBADA,SI
DIPUTADO,ALEXIS GERMAN,ORMEÑO,SILVA,APROBADA,SI
DIPUTADO,MANUEL ENRIQUE,MUÑOZ,PALACIOS,APROBADA,NO
DIPUTADO,LORENA,FRIES,MONLEON,APROBADA,SI
DIPUTADO,YOLANDA,PIZARRO,CARMONA,APROBADA,SI
DIPUTADO,JULIO,SALAS,GUTIERREZ,APROBADA,SI
DIPUTADO,EWALD ENRIQUE,MEYER,MONSALVE,APROBADA,SI
SENADOR,ABRAHAM GONZALO,LARRONDO,VEGA,APROBADA,SI
SENADOR,JUAN DEL KARANO,MARQUEZ,BORQUEZ,APROBADA,SI
DIPUTADO,RENE,ALINCO,BUSTOS,APROBADA,SI
DIPUTADO,VERONICA DEL PILAR,NUÑEZ,BARRA,APROBADA,SI
SENADOR,MONICA INES,QUIROZ,REYES,APROBADA,SI
DIPUTADO,HUGO ORLANDO,MORALES,SILVA,APROBADA,SI
DIPUTADO,JAIME RODOLFO,FICA,CARRASCO,APROBADA,SI
PRESIDENTE,YASNA,PROVOSTE,CAMPILLAY,APROBADA,SI
SENADOR,RODRIGO IGNACIO,SILVA,ALFARO,APROBADA,SI
DIPUTADO,TIRSO,GONZALEZ,ALQUINTA,APROBADA,SI
DIPUTADO,CHRISTEL,FELMER,VALDIVIELSO,APROBADA,SI
SENADOR,BEATRIZ,MATURANA,COSSIO,APROBADA,SI
DIPUTADO,LUIS EDUARDO,ARRIAZA,VILLALON,APROBADA,SI
DIPUTADO,SOLEDAD ESTELA,CUESTA,VALLEJOS,APROBADA,SI
DIPUTADO,FABRICIO,VENEGAS,OLIVARES,APROBADA,SI
SENADOR,JUAN JOSE CLAUDIO,ARCOS,SRDANOVIC,APROBADA,SI
DIPUTADO,GRACIELA AIDA,DIAZ,MERUBIA,APROBADA,SI
SENADOR,NINEN,GOMEZ,VILLEGAS,APROBADA,SI
SENADOR,GABRIEL,SILBER,ROMO,APROBADA,SI
DIPUTADO,CLARA,OLIVARES,ARAYA,APROBADA,SI
DIPUTADO,INGRID,SCHETTINO,PINTO,APROBADA,SI
DIPUTADO,ROSANNA MARIA,GARCIA,CHEVECICH,APROBADA,SI
DIPUTADO,CAROLINA,CUCUMIDES,CALDERON,APROBADA,SI
DIPUTADO,PAMELA,BONGAIN,ACEVEDO,APROBADA,SI
